Brand;Serie;Color;Location;Fuel;Gear;CEKIS;Year;KM;Galeriden;CC;HP;GARANTI;Price
BMW;5;-;Antalya;Benzin;Otomatik;Arkadan;2018; 27 ;0;1592;170;1;785000
BMW;5;-;Konya;Benzin;Otomatik;Arkadan;2017; 43 ;0;1592;170;1;770000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2017; 32 ;0;1595;156;1;700000
BMW;5;-;İzmir;Benzin;Otomatik;Arkadan;2018; 59 ;0;1592;170;1;698000
Audi;A6;-;Batman;Dizel;Yarı;4ceker;2016; 146 ;0;1968;190;0;685000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2018; 18 ;0;1595;156;1;637500
Mercedes;-;-;Karabük;Dizel;Otomatik;Arkadan;2018; 22 ;0;1598;160;1;620000
Mercedes;-;-;Antalya;Benzin;Otomatik;4ceker;2020; 18 ;0;1497;184;1;600000
Mercedes;-;-;İstanbul;Benzin;Otomatik;Arkadan;2017; 65 ;0;1595;156;1;585000
Audi;A6;-;Ankara;Dizel;Yarı;4ceker;2015; 154 ;0;1968;190;0;580000
Mercedes;-;-;İzmir;Dizel;Otomatik;4ceker;2012; 185 ;0;2987;265;0;575500
BMW;5;-;Ankara;Dizel;Otomatik;4ceker;2016; 77 ;0;1995;218;0;570000
BMW;5;-;Gaziantep;Benzin;Otomatik;Arkadan;2016; 33 ;0;1592;170;0;570000
BMW;4;-;Konya;Dizel;Otomatik;Arkadan;2014; 186 ;0;1995;184;0;565000
BMW;5;-;İstanbul;Benzin;Otomatik;Arkadan;2013; 88 ;0;1997;184;0;550000
Audi;A6;-;Konya;Dizel;Yarı;Onden;2015; 80 ;0;1968;190;0;548000
Mercedes;-;-;İstanbul;Dizel;Otomatik;Arkadan;2017; 43 ;0;1598;136;1;530000
Mercedes;-;-;Ankara;Benzin;Otomatik;Arkadan;2017; 42 ;0;1595;156;1;530000
Audi;A6;-;İstanbul;Dizel;Yarı;Onden;2015; 96 ;0;1968;190;0;525000
BMW;4;-;İstanbul;Benzin;Otomatik;Arkadan;2018; 10 ;0;1499;136;1;521000
BMW;3;-;İstanbul;LPG;Duz;Arkadan;1994; 340 ;0;1596;102;0;520000
